id,Title,Authors,Keywords,Published Year,Journal,DOI,States,Cities,Geography Keywords,Citation
92,"The 2021 Texas Power Crisis: distribution, duration, and disparities","Flores, N. M.; McBrien, H.; Do, V.; Kiang, M. V.; Schlegelmilch, J.; Casey, J. A.",Aged; Humans; United States; Texas; Medicare; Disasters; Electricity; Social Group,2023,Journal of Exposure Science & Environmental Epidemiology,10.1038/s41370-022-00462-5,Texas,NA,County State,"Flores, N. M., McBrien, H., Do, V., Kiang, M. V., Schlegelmilch, J., & Casey, J. A. (2022). The 2021 Texas Power Crisis: distribution, duration, and disparities. Journal of Exposure Science &amp; Environmental Epidemiology, 33(1), 21–31. https://doi.org/10.1038/s41370-022-00462-5"
185,Spatial Patterns of COVID-19 Vaccination Coverage by Social Vulnerability Index and Designated COVID-19 Vaccine Sites in Texas,"Mofleh, D.; Almohamad, M.; Osaghae, I.; Bempah, S.; Zhang, Q.; Tortolero, G.; Ebeidat, A.; Ramphul, R.; Sharma, S. V.",NA,2022,N/A,10.3390/vaccines10040574,Texas,NA,NA,"Mofleh, D., Almohamad, M., Osaghae, I., Bempah, S., Zhang, Q., Tortolero, G., Ebeidat, A., Ramphul, R., & Sharma, S. V. (2022). Spatial Patterns of COVID-19 Vaccination Coverage by Social Vulnerability Index and Designated COVID-19 Vaccine Sites in Texas. Vaccines, 10(4), 574. https://doi.org/10.3390/vaccines10040574"
198,Compound hazards: An examination of how hurricane protective actions could increase transmission risk of COVID-19,"Dargin, J. S.; Li, Q.; Jawer, G.; Xiao, X.; Mostafavi, A.",NA,2021,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2021.102560,Texas,NA,County State Community,"Dargin, J. S., Li, Q., Jawer, G., Xiao, X., & Mostafavi, A. (2021). Compound hazards: An examination of how hurricane protective actions could increase transmission risk of COVID-19. International Journal of Disaster Risk Reduction, 65, 102560. https://doi.org/10.1016/j.ijdrr.2021.102560"
322,The Association of Socioeconomic Vulnerability and Race and Ethnicity With Disease Burden Among Children in a Statewide Medicaid Population,"Hall, J. M.; Chakrabarti, C.; Mkuu, R.; Thompson, L. A.; Shenkman, E. A.; Theis, R. P.",asthma; attention deficit hyperactivity disorder; diabetes; health outcomes; intersectionality,2022,Academic Pediatrics,10.1016/j.acap.2022.09.011,Texas,NA,Tract Neighborhood,"Hall, J. M., Chakrabarti, C., Mkuu, R., Thompson, L. A., Shenkman, E. A., & Theis, R. P. (2023). The Association of Socioeconomic Vulnerability and Race and Ethnicity With Disease Burden Among Children in a Statewide Medicaid Population. Academic Pediatrics, 23(2), 372–380. https://doi.org/10.1016/j.acap.2022.09.011"
448,Measuring Historic and Longitudinal Social Vulnerability in Disaster-Prone Communities: A Modification to the Centers for Disease Control and Prevention Social Vulnerability Index (CDC-SVI),"Adepoju, O. E.; Kiaghadi, A.",NA,2023,Disaster Medicine & Public Health Preparedness,10.1017/dmp.2023.29,Texas,NA,County Community,"Adepoju, O. E., & Kiaghadi, A. (2023). Measuring Historic and Longitudinal Social Vulnerability in Disaster-Prone Communities: A Modification to the Centers for Disease Control and Prevention Social Vulnerability Index (CDC-SVI). Disaster Medicine and Public Health Preparedness, 17. https://doi.org/10.1017/dmp.2023.29"
460,"Examining Social Vulnerability and the Association With COVID-19 Incidence in Harris County, Texas","Tortolero, G. A.; Otto, M. O.; Ramphul, R.; Yamal, J. M.; Rector, A.; Brown, M.; Peskin, M. F.; Mofleh, D.; Boerwinkle, E.",COVID-19; Census Tract; Humans; Incidence; SARS-CoV-2; Social Vulnerability; Texas[Epidemiology],2021,Frontiers in Public Health,10.3389/fpubh.2021.798085,Texas,NA,Tract County Community,"Tortolero, G. A., Otto, M. de O., Ramphul, R., Yamal, J.-M., Rector, A., Brown, M., Peskin, M. F., Mofleh, D., & Boerwinkle, E. (2022). Examining Social Vulnerability and the Association With COVID-19 Incidence in Harris County, Texas. Frontiers in Public Health, 9. https://doi.org/10.3389/fpubh.2021.798085"
471,Flooding and emergency department visits: Effect modification by the CDC/ATSDR Social Vulnerability Index,"Ramesh, B.; Jagger, M. A.; Zaitchik, B.; Kolivras, K. N.; Swarup, S.; Deanes, L.; Hallisey, E.; Sharpe, J. D.; Gohlke, J. M.",CDCSocial vulnerability index; Earth observation; Effect modification; Emergency department visit; Flood and health; Hurricane Harvey,2022,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2022.102986,Texas,NA,Tract,"Ramesh, B., Jagger, M. A., Zaitchik, B., Kolivras, K. N., Swarup, S., Deanes, L., Hallisey, E., Sharpe, J. D., & Gohlke, J. M. (2022). Flooding and emergency department visits: Effect modification by the CDC/ATSDR Social Vulnerability Index. International Journal of Disaster Risk Reduction, 76, 102986. https://doi.org/10.1016/j.ijdrr.2022.102986"
505,Do underserved and socially vulnerable communities observe more crashes? A spatial examination of social vulnerability and crash risks in Texas,"Li, X.; Yu, S.; Huang, X.; Dadashova, B.; Cui, W.; Zhang, Z.","Accidents, Traffic; Humans; Social Vulnerability; Spatial Analysis; Spatial Regression; Texas[Epidemiology]",2022,Accident Analysis & Prevention,10.1016/j.aap.2022.106721,Texas,NA,Tract Urban,"Li, X., Yu, S., Huang, X., Dadashova, B., Cui, W., & Zhang, Z. (2022). Do underserved and socially vulnerable communities observe more crashes? A spatial examination of social vulnerability and crash risks in Texas. Accident Analysis &amp; Prevention, 173, 106721. https://doi.org/10.1016/j.aap.2022.106721"
234,The Impact of Social Vulnerability on COVID-19 in the U.S.: An Analysis of Spatially Varying Relationships,"Karaye, I. M.; Horney, J. A.","COVID-19; Coronavirus Infections[Epidemiology]; Health Services Accessibility; Health Status Disparities; Humans; Pandemics; Pneumonia, Viral[Epidemiology]; Risk Factors; United States[Epidemiology]; Vulnerable Populations",2020,American Journal of Preventive Medicine,10.1016/j.amepre.2020.06.006,"Tennessee, California",NA,NA,"Karaye, I. M., & Horney, J. A. (2020). The Impact of Social Vulnerability on COVID-19 in the U.S.: An Analysis of Spatially Varying Relationships. American Journal of Preventive Medicine, 59(3), 317–325. https://doi.org/10.1016/j.amepre.2020.06.006"
283,Using geospatial data to eliminate disparities in covid-19 testing,"Heath, G. W.; Moreland, T.; Stephenson, S.; Houser, J. A.; Schmitt, C.",adult; age distribution; cardiovascular disease; case report; chronic lung disease; city; clinical article; conference abstract; COVID-19 testing; ethnic group; ethnicity; female; gender; Hispanic; hospital planning; human; intersectoral collaboration; male; neighborhood; non insulin dependent diabetes mellitus; non profit organization; obesity; physical inactivity; polymerase chain reaction; prevalence; private sector; public health service; race; resident; risk assessment; risk factor; Social Vulnerability Index; Tennessee; vulnerable population,2021,Circulation. Conference: American Heart Association's Epidemiology and Prevention/Lifestyle and Cardiometabolic Health,10.1161/circ.143.suppl_1.047,Tennessee,NA,County Neighborhood Community,"Heath, G. W., Moreland, T., Stephenson, S., Houser, J. A., & Schmitt, C. (2021). Abstract 047: Using Geospatial Data To Eliminate Disparities In Covid-19 Testing. Circulation, 143(Suppl_1). https://doi.org/10.1161/circ.143.suppl_1.047"
326,Social Vulnerability and Initiation of Pharmacotherapy for Gestational Diabetes Mellitus in a Medicaid Population,"Pham, A.; Wiese, A. D.; Spieker, A. J.; Phillips, S. E.; Adgent, M. A.; Grijalva, C. G.; Osmundson, S. S.",NA,2023,Womens Health Issues,10.1016/j.whi.2022.12.004,Tennessee,NA,Tract State Community,"Pham, A., Wiese, A. D., Spieker, A. J., Phillips, S. E., Adgent, M. A., Grijalva, C. G., & Osmundson, S. S. (2023). Social Vulnerability and Initiation of Pharmacotherapy for Gestational Diabetes Mellitus in a Medicaid Population. Women’s Health Issues, 33(3), 273–279. https://doi.org/10.1016/j.whi.2022.12.004"
361,Hypoglycemic medication adherence in women with gestational diabetes mellitus,"Pham, A.; Wiese, A.; Spieker, A.; Ashley, L.; Phillips, S.; Adgent, M.; Grijalva, C.; Osmundson, S. S.",adult; census tract; cohort analysis; conference abstract; confounding variable; controlled study; female; housing; human; linear regression analysis; major clinical study; medicaid; medication compliance; parity; pregnancy; pregnancy diabetes mellitus; prescription; retrospective study; secondary analysis; Social Vulnerability Index; Tennessee; antidiabetic agent; glibenclamide; insulin; metformin,2023,American Journal of Obstetrics and Gynecology,10.1016/j.ajog.2022.11.744,Tennessee,NA,Tract Community,"Pham, A., Wiese, A., Spieker, A., Ashley, L., Phillips, S., Adgent, M., Grijalva, C., & Osmundson, S. S. (2023). Hypoglycemic medication adherence in women with gestational diabetes mellitus. American Journal of Obstetrics and Gynecology, 228(1), S428–S429. https://doi.org/10.1016/j.ajog.2022.11.744"
377,Analyzing Relationships Between Economic and Neighborhood-Related Social Determinants of Health and Intensive Care Unit Length of Stay for Critically Ill Children With Medical Complexity Presenting With Severe Sepsis,"Hamilton, H.; West, A. N.; Ammar, N.; Chinthala, L.; Gunturkun, F.; Jones, T.; Shaban-Nejad, A.; Shah, S. H.",children with medical complexity; health disparities; pediatric intensive care unit; severe sepsis; social determinants of health,2022,Frontiers in Public Health,10.3389/fpubh.2022.789999,Tennessee,NA,Tract County Neighborhood Community,"Hamilton, H., West, A. N., Ammar, N., Chinthala, L., Gunturkun, F., Jones, T., Shaban-Nejad, A., & Shah, S. H. (2022). Analyzing Relationships Between Economic and Neighborhood-Related Social Determinants of Health and Intensive Care Unit Length of Stay for Critically Ill Children With Medical Complexity Presenting With Severe Sepsis. Frontiers in Public Health, 10. https://doi.org/10.3389/fpubh.2022.789999"
456,Analysis of disease burden in socially disadvantaged areas: Mapping of geographical inequalities in COVID-19 morbidity and mortality using a social disadvantage index in Tennessee,"Antipova, A.",COVID-19; disadvantaged areas; health outcomes; social disadvantage index ; vulnerability,2022,Frontiers in Sustainable Cities,10.3389/frsc.2022.876945,Tennessee,NA,Rural Community,"Antipova, A. (2022). Analysis of disease burden in socially disadvantaged areas: Mapping of geographical inequalities in COVID-19 morbidity and mortality using a social disadvantage index in Tennessee. Frontiers in Sustainable Cities, 4. https://doi.org/10.3389/frsc.2022.876945"
85,A geospatial analysis of healthy food resource access to combat obesity in endometrial cancer survivors living in the deep south: Is it equitable?,"Patel, K.; Escamilla, V.; Wolfe, L.; Morris, T.; Pradhan, I.; Orr, B. C.; Graybill, W.; Creasman, W. T.; Ross, J.",adult; African American; body mass; cancer patient; cancer staging; cancer survival; cancer survivor; comorbidity; conference abstract; controlled study; demography; disability; disease control; endometrium cancer; European American; female; food desert; government; healthy food access; holistic care; household; human; language; major clinical study; medical record; neighborhood; obesity; physiological stress; poverty; practice guideline; rural area; social needs; social status; Social Vulnerability Index; South Carolina; survivorship; university hospital; urban area,2022,"Journal of Clinical Oncology. Conference: Annual Meeting of the American Society of Clinical Oncology, ASCO",10.1200/JCO.2022.40.16_suppl.e18507,South Carolina,NA,Tract State Rural Urban Neighborhood,"Patel, K., Escamilla, V., Wolfe, L., Morris, T., Pradhan, I., Orr, B. C., Graybill, W., Creasman, W. T., & Ross, J. (2022). A geospatial analysis of healthy food resource access to combat obesity in endometrial cancer survivors living in the deep south: Is it equitable? Journal of Clinical Oncology, 40(16_suppl), e18507–e18507. https://doi.org/10.1200/jco.2022.40.16_suppl.e18507"
99,Patient- and area-level predictors of prostate cancer among South Carolina veterans: a spatial analysis,"Georgantopoulos, P.; Eberth, J. M.; Cai, B.; Emrich, C.; Rao, G.; Bennett, C. L.; Haddock, K. S.; Hebert, J. R.",Adult; Aged; Bayes Theorem; Censuses; Humans; Incidence; Male; Mass Screening; Middle Aged; Prostatic Neoplasms[Mortality]; Residence Characteristics; Retrospective Studies; Risk Factors; Social Class; South Carolina[Epidemiology]; Spatial Analysis; Veterans,2020,Cancer Causes & Control,10.1007/s10552-019-01263-2,South Carolina,NA,State Neighborhood,"Georgantopoulos, P., Eberth, J. M., Cai, B., Emrich, C., Rao, G., Bennett, C. L., Haddock, K. S., & Hébert, J. R. (2020). Patient- and area-level predictors of prostate cancer among South Carolina veterans: a spatial analysis. Cancer Causes &amp; Control, 31(3), 209–220. https://doi.org/10.1007/s10552-019-01263-2"
393,Facility Attractiveness and Social Vulnerability Impacts on Spatial Accessibility to Opioid Treatment Programs in South Carolina,"Bozorgi, P.; Eberth, J. M.; Eidson, J. P.; Porter, D. E.","Analgesics, Opioid; Catchment Area, Health; Health Services Accessibility; Humans; Opioid-Related Disorders; South Carolina;",2021,International Journal of Environmental Research & Public Health [Electronic Resource],10.3390/ijerph18084246,South Carolina,NA,Tract State Urban,"Bozorgi, P., Eberth, J. M., Eidson, J. P., & Porter, D. E. (2021). Facility Attractiveness and Social Vulnerability Impacts on Spatial Accessibility to Opioid Treatment Programs in South Carolina. International Journal of Environmental Research and Public Health, 18(8), 4246. https://doi.org/10.3390/ijerph18084246"
512,SARS-CoV-2 concentration in wastewater consistently predicts trends in COVID-19 case counts by at least two days across multiple WWTP scales,"Swift, C. L.; Isanovic, M.; Correa Velez, K. E.; Norman, R. S.",SARS-CoV-2; Sewage surveillance; Wastewater-based epidemiology,2023,Environmental Advances,10.1016/j.envadv.2023.100347,South Carolina,NA,State,"Swift, C. L., Isanovic, M., Correa Velez, K. E., & Norman, R. S. (2023). SARS-CoV-2 concentration in wastewater consistently predicts trends in COVID-19 case counts by at least two days across multiple WWTP scales. Environmental Advances, 11, 100347. https://doi.org/10.1016/j.envadv.2023.100347"
515,"Associations Between Social Vulnerability and Providing Evidence-Based Diabetes Prevention and Management Activities in South Carolina, 2019","Mandelbaum, Jennifer; Dhsc, Courtney Brightharp; Kristian Myers, Ches; Shauna Hicks, Ches",Medical Sciences; Diabetes management; rural health; social vulnerability; social determinants of health; Preventing Chronic Disease Journal; chronic disease; public health; National Center for Chronic Disease Prevention and Health Promotion; Heart Disease; Diabetes; Socioeconomic factors; Infrastructure; Funding; Cardiovascular disease; Drug stores; Health facilities; Disease prevention; Heart; Households; Health services; Disease control; Drug therapy; United States--US; South Carolina,2023,Preventing Chronic Disease,10.5888/pcd20.220199,South Carolina,NA,Tract Rural Community,"Mandelbaum, J., Brightharp, C., Myers, K., & Hicks, S. (2023). Associations Between Social Vulnerability and Providing Evidence-Based Diabetes Prevention and Management Activities in South Carolina, 2019. Preventing Chronic Disease, 20. https://doi.org/10.5888/pcd20.220199"
146,An analysis of pediatric social vulnerability in the Pennsylvania trauma system,"Morgan, M. E.; Horst, M. A.; Vernon, T. M.; Fallat, M. E.; Rogers, A. T.; Bradburn, E. H.; Rogers, F. B.",Adolescent; Child; Humans; Injury Severity Score; Medically Uninsured; Multiple Trauma; Pennsylvania[Epidemiology]; Residence Characteristics; Trauma Centers; United States,2020,Journal of Pediatric Surgery,10.1016/j.jpedsurg.2020.05.024,Pennsylvania,NA,Tract Urban Neighborhood Community,"Morgan, M. E., Horst, M. A., Vernon, T. M., Fallat, M. E., Rogers, A. T., Bradburn, E. H., & Rogers, F. B. (2020). An analysis of pediatric social vulnerability in the Pennsylvania trauma system. Journal of Pediatric Surgery, 55(12), 2746–2751. https://doi.org/10.1016/j.jpedsurg.2020.05.024"
156,Social vulnerability and discharge disposition after elective total hip replacement? Risk-adjusted analysis of large regional dataset,"Mehta, B.; Goodman, S.; Ho, K.; D'Angelo, D.; Parks, M.; Ibrahim, S.",adult; African American; Caucasian; complication; controlled study; Elixhauser comorbidity index; female; groups by age; health care cost; health care utilization; high volume hospital; hospital patient; housing; human; insurance; male; nursing home; osteoarthritis; Pennsylvania; peroperative complication; social determinants of health; total hip replacement; vulnerable population; conference abstract,2019,Annals of the Rheumatic Diseases,10.1136/annrheumdis-2019-eular.6114,Pennsylvania,NA,State Urban Community,"Mehta, B., Goodman, S., Ho, K., D’angelo, D., Parks, M., & Ibrahim, S. (2019). THU0442 SOCIAL VULNERABILITY AND DISCHARGE DISPOSITION AFTER ELECTIVE TOTAL HIP REPLACEMENT? RISK-ADJUSTED ANALYSIS OF LARGE REGIONAL DATASET. Poster Presentations. https://doi.org/10.1136/annrheumdis-2019-eular.6114"
501,Community context and perceived risk: Perceptions of active shooter risk in Pennsylvania,"Wallace, Lacey N.","Active shooter, Public perceptions, Perceived risk, Minority threat, Community vulnerability; Communities; Criminal Behavior; Demographic Characteristics; Risk Perception; Threat; Crime; Criminal Behavior & Juvenile Delinquency [3236]; Human Male Female Adulthood  Young Adulthood  Thirties  Middle Age  Aged  Very Old ; US",2021,Crime Prevention and Community Safety,10.1057/s41300-021-00131-z,Pennsylvania,NA,Community,"Wallace, L. N. (2021). Community context and perceived risk: perceptions of active shooter risk in Pennsylvania. Crime Prevention and Community Safety, 23(4), 450–466. https://doi.org/10.1057/s41300-021-00131-z"
359,"Inequalities in Tobacco Retailer Compliance Violations Across the State of Oklahoma, 2015-2019","Sedani, A. E.; Chen, S.; Beetch, J. E.; Martinez, S. A.; Dao, H. D. N.; Campbell, J. E.",Adolescent; Commerce; Cross-Sectional Studies; Humans; Oklahoma[Epidemiology]; Tobacco; Tobacco Products,2022,Journal of Community Health,10.1007/s10900-022-01091-7,Oklahoma,NA,State Neighborhood,"Sedani, A. E., Chen, S., Beetch, J. E., Martinez, S. A., Dao, H. D. N., & Campbell, J. E. (2022). Inequalities in Tobacco Retailer Compliance Violations Across the State of Oklahoma, 2015–2019. Journal of Community Health, 47(4), 658–665. https://doi.org/10.1007/s10900-022-01091-7"
308,Geographic variation in and contextual factors related to biguanide adherence amongst medicaid enrolees with type 2 Diabetes Mellitus,"Learnihan, V.; Schroers, R. D.; Coote, P.; Blake, M.; Coffee, N. T.; Daniel, M.",Diabetes; Geographic variation; Medication adherence; Proportion days covered; Social determinants; Social vulnerability,2022,SSM - Population Health,10.1016/j.ssmph.2021.101013,Ohio,NA,Tract Urban,"Learnihan, V., Schroers, R.-D., Coote, P., Blake, M., Coffee, N. T., & Daniel, M. (2022). Geographic variation in and contextual factors related to biguanide adherence amongst medicaid enrolees with type 2 Diabetes Mellitus. SSM - Population Health, 17, 101013. https://doi.org/10.1016/j.ssmph.2021.101013"
405,Association of textbook outcomes and social vulnerability relative to hospital quality,"Diaz, A.; Hyer, M.; Tsilimigras, D.; Pawlik, T.",adverse outcome; aged; Charlson Comorbidity Index; cohort analysis; complication; conference abstract; controlled study; disease control; female; hospital patient; hospital readmission; human; incidence; length of stay; liver resection; major clinical study; male; medicare; mortality; pancreatectomy; patient referral; probability; reliability; risk assessment; risk factor; Social Vulnerability Index,2021,Hpb,10.1016/j.hpb.2021.06.044,Ohio,NA,State,"Diaz, A., Hyer, M., Tsilimigras, D., & Pawlik, T. (2021). Association of textbook outcomes and social vulnerability relative to hospital quality. HPB, 23, S469–S470. https://doi.org/10.1016/j.hpb.2021.06.044"
406,Social vulnerability and fragmentation of postoperative surgical care among patients undergoing hepatopancreatic surgery,"Dalmacy, D. M.; Tsilimigras, D. I.; Hyer, J. M.; Paro, A.; Diaz, A.; Pawlik, T. M.",adult; comorbidity; conference abstract; controlled study; disability; female; hospital readmission; household; housing; human; incidence; language; liver resection; major clinical study; male; medicare; pancreatectomy; patient risk; postoperative care; risk assessment; social determinants of health; Social Vulnerability Index; surgery,2021,Hpb,10.1016/j.hpb.2021.06.035,Ohio,NA,State,"Dalmacy, D. M., Tsilimigras, D. I., Hyer, J. M., Paro, A., Diaz, A., & Pawlik, T. M. (2021). Social vulnerability and fragmentation of postoperative surgical care among patients undergoing hepatopancreatic surgery. HPB, 23, S463–S464. https://doi.org/10.1016/j.hpb.2021.06.035"
435,Place Based Risk for Early Rejection in Lung Transplant,"Tsuang, W. M.; Wang, X.; Curtis, J.",adult; census tract; clinical article; conference abstract; controlled study; disease control; ethnicity; female; follow up; heart; household; housing; human; human tissue; immunosuppressive treatment; language; latitude; longitude; lung function; lung graft rejection; male; mortality; Ohio; outcome assessment; outpatient; race; residence characteristics; resident; risk assessment; risk factor; social status; Social Vulnerability Index; surgery; biological marker,2022,American Journal of Transplantation,10.1111/ajt.17073,Ohio,NA,Tract,"Poster Abstracts. (2022). American Journal of Transplantation, 22, 607–1136. https://doi.org/10.1111/ajt.17073"
345,"Late Surges in COVID-19 Cases and Varying Transmission Potential Partially Due to Public Health Policy Changes in 5 Western States, March 10, 2020, to January 10, 2021","Hua, X.; Kehoe, A. R. D.; Tome, J.; Motaghi, M.; Ofori, S. K.; Lai, P. Y.; Ali, S. T.; Chowell, G.; Spaulding, A. C.; Fung, I. C.",Humans; COVID-19[Epidemiology]; COVID-19; SARS-CoV-2; North Dakota[Epidemiology]; South Dakota[Epidemiology]; Health Policy,2022,Disaster Medicine & Public Health Preparedness,10.1017/dmp.2022.248,"North Dakota, South Dakota, Montana, Wyoming, Idaho",NA,NA,"Hua, X., Kehoe, A. R. D., Tome, J., Motaghi, M., Ofori, S. K., Lai, P.-Y., Ali, S. T., Chowell, G., Spaulding, A. C., & Fung, I. C.-H. (2022). Late Surges in COVID-19 Cases and Varying Transmission Potential Partially Due to Public Health Policy Changes in 5 Western States, March 10, 2020, to January 10, 2021. Disaster Medicine and Public Health Preparedness, 17. https://doi.org/10.1017/dmp.2022.248"
86,An Analysis of the Social Determinants of Health in South Carolina's I-95 Corridor,"Mandelbaum, J.; Almeda, J.; Blackwell, S.; Hopkins, J. W.; Myers, K.; Hicks, S.; Daguise, V. G.",NA,2022,Health Promotion Practice,10.1177/15248399221142517,"North Carolina, Georgia, South Carolina",NA,Tract County State Rural,"Mandelbaum, J., Almeda, J., Blackwell, S., Hopkins, J. W., Myers, K., Hicks, S., & Daguise, V. G. (2022). An Analysis of the Social Determinants of Health in South Carolina’s I-95 Corridor. Health Promotion Practice, 152483992211425. https://doi.org/10.1177/15248399221142517"
60,Assessing community-level exposure to social vulnerability and isolation: spatial patterning and urban-rural differences,"Deziel, N. C.; Warren, J. L.; Bravo, M. A.; Macalintal, F.; Kimbro, R. T.; Bell, M. L.",NA,2022,Journal of Exposure Science & Environmental Epidemiology,10.1038/s41370-022-00435-8,North Carolina,NA,Tract State Rural Urban Neighborhood Community,"Deziel, N. C., Warren, J. L., Bravo, M. A., Macalintal, F., Kimbro, R. T., & Bell, M. L. (2022). Assessing community-level exposure to social vulnerability and isolation: spatial patterning and urban-rural differences. Journal of Exposure Science &amp; Environmental Epidemiology, 33(2), 198–206. https://doi.org/10.1038/s41370-022-00435-8"
87,Evidence of Geospatial and Socioeconomic Disparities in Access to Online Grocery Shopping for Fresh and Frozen Produce in North Carolina,"McGuirt, J. T.; Jilcott Pitts, S. B.; Labban, J. D.; Anderson Steeves, E. T.; Haynes-Maslow, L.; Henry, S.; Gustafson, A.",United States; Humans; Food Supply; North Carolina; Commerce; Cross-Sectional Studies; Food Assistance; Poverty; Vegetables,2022,Journal of the Academy of Nutrition & Dietetics,10.1016/j.jand.2022.05.008,North Carolina,NA,Tract State Rural Urban,"McGuirt, J. T., Jilcott Pitts, S. B., Labban, J. D., Anderson Steeves, E. T., Haynes-Maslow, L., Henry, S., & Gustafson, A. (2022). Evidence of Geospatial and Socioeconomic Disparities in Access to Online Grocery Shopping for Fresh and Frozen Produce in North Carolina. Journal of the Academy of Nutrition and Dietetics, 122(11), 2106–2114. https://doi.org/10.1016/j.jand.2022.05.008"
178,Generation of the Chemical and Social Stressors Integration Technique (CASS-IT) to identify areas of holistic public health concern: An application to North Carolina,"Eaves, L. A.; Lanier, P.; Enggasser, A. E.; Chung, G.; Turla, T.; Rager, J. E.; Fry, R. C.",Clustering; Geographic data; Metals; Private wells; Social vulnerability,2023,Science of the Total Environment,10.1016/j.scitotenv.2022.160409,North Carolina,NA,Tract State,"Eaves, L. A., Lanier, P., Enggasser, A. E., Chung, G., Turla, T., Rager, J. E., & Fry, R. C. (2023). Generation of the Chemical and Social Stressors Integration Technique (CASS-IT) to identify areas of holistic public health concern: An application to North Carolina. Science of The Total Environment, 862, 160409. https://doi.org/10.1016/j.scitotenv.2022.160409"
224,A cross-sectional analysis of county-level social vulnerability and physical frailty among adults with hematological malignancies,"Grant, S. J.; Deal, A. M.; Heiling, H. M.; Nyrop, K. A.; Muss, H. B.; Rubinstein, S. M.; Lichtman, E. I.; Wildes, T. M.; Tuchman, S. A.",adult; aged; cancer patient; cohort analysis; conference abstract; controlled study; cross-sectional study; demographics; disability; disease control; documentation; education; female; frailty; geriatric assessment; hematologic malignancy; household; housing; human; language; leukemia; lymphoma; major clinical study; male; multiple myeloma; North Carolina; plasma cell dyscrasia; race; risk factor; social status; Social Vulnerability Index,2021,Blood,10.1182/blood-2021-149742,North Carolina,NA,County Community,"Grant, S. J., Deal, A. M., Heiling, H. M., Nyrop, K. A., Muss, H. B., Rubinstein, S. M., Lichtman, E. I., Wildes, T. M., & Tuchman, S. A. (2021). A Cross-Sectional Analysis of County-Level Social Vulnerability and Physical Frailty Among Adults with Hematological Malignancies. Blood, 138(Supplement 1), 4130–4130. https://doi.org/10.1182/blood-2021-149742"
288,A Comparison of Area-Level Socioeconomic Status Indices in Colorectal Cancer Care,"Herb, J.; Dunham, L.; Stitzenberg, K.",Humans; Social Class; Socioeconomic Factors; Risk Adjustment; Registries; Colorectal Neoplasms[Therapy]; Colorectal Neoplasms,2022,Journal of Surgical Research,10.1016/j.jss.2022.07.036,North Carolina,NA,NA,"Herb, J., Dunham, L., & Stitzenberg, K. (2022). A Comparison of Area-Level Socioeconomic Status Indices in Colorectal Cancer Care. Journal of Surgical Research, 280, 304–311. https://doi.org/10.1016/j.jss.2022.07.036"
303,Trends in COVID-19 Health Disparities in North Carolina: Preparing the Field for Long-Haul Patients,"Muratori Holanda, T.; Alberico, C.; Rios-Colon, L.; Arthur, E.; Kumar, D.",NA,2021,Healthcare,10.3390/healthcare9121704,North Carolina,NA,NA,"Muratori Holanda, T., Alberico, C., Rios-Colon, L., Arthur, E., & Kumar, D. (2021). Trends in COVID-19 Health Disparities in North Carolina: Preparing the Field for Long-Haul Patients. Healthcare, 9(12), 1704. https://doi.org/10.3390/healthcare9121704"
424,Cross-Sectional Analysis of Clinical Trial Availability and North Carolina Neighborhood Social Vulnerability,"Grant, S. J.; Jansen, M.; Kuo, T. M.; Rubinstein, S. M.; Wildes, T. M.; Tuchman, S. A.; Muss, H. B.; Lichtman, E. I.; Charlot, M.",Humans; North Carolina[Epidemiology]; Cross-Sectional Studies; Social Vulnerability; Rural Population; Residence Characteristics,2023,JCO Oncology Practice,10.1200/OP.22.00325,North Carolina,NA,County Rural Urban Community,"Grant, S. J., Jansen, M., Kuo, T.-M., Rubinstein, S. M., Wildes, T. M., Tuchman, S. A., Muss, H. B., Lichtman, E. I., & Charlot, M. (2023). Cross-Sectional Analysis of Clinical Trial Availability and North Carolina Neighborhood Social Vulnerability. JCO Oncology Practice, 19(2), e248–e262. https://doi.org/10.1200/op.22.00325"
476,Urban Park Use During the COVID-19 Pandemic: Are Socially Vulnerable Communities Disproportionately Impacted?,"Larson, L. R.; Zhang, Z.; Oh, J. I.; Beam, W.; Ogletree, S. S.; Bocarro, J. N.; Lee, K. J.; Casper, J.; Stevenson, K. T.; Hipp, J. A.; Mullenbach, L. E.; Carusona, M.; Wells, M.",coronavirus; COVID-19; environmental justice; equity; greenspace; health; outdoor recreation; race,2021,Frontiers in Sustainable Cities,10.3389/frsc.2021.710243,North Carolina,NA,Tract Urban Neighborhood,"Larson, L. R., Zhang, Z., Oh, J. I., Beam, W., Ogletree, S. S., Bocarro, J. N., Lee, K. J., Casper, J., Stevenson, K. T., Hipp, J. A., Mullenbach, L. E., Carusona, M., & Wells, M. (2021). Urban Park Use During the COVID-19 Pandemic: Are Socially Vulnerable Communities Disproportionately Impacted? Frontiers in Sustainable Cities, 3. https://doi.org/10.3389/frsc.2021.710243"
